episode,reward,mean reward,score,epsilon,epoch steps,total steps
246,-0.9341595506290048,0.07,2.328459643106143,0.6686479366970419,35,9532
247,-1.0388585303541475,0.16,5.6782739390577746,0.6679266016315016,35,9567
248,-3.1116637193101866,-0.48,-16.649492646910666,0.6672061076328202,35,9602
249,-1.8325000054420215,-0.29,-10.190558254878695,0.6664864537203249,35,9637
250,-50,-1.61,-49.86283157988577,0.6658497467400755,31,9668
251,-2.6192043134420544,-0.99,-34.7068439263888,0.6651316743259017,35,9703
252,1.3167330892089524,-0.62,-21.798029285521267,0.6644144391743796,35,9738
253,-50,-1.78,-44.42276451312418,0.6639026404208329,25,9763
254,0.35271522886806395,-0.31,-10.89418835508205,0.6631868383060994,35,9798
255,-2.333069516183805,-0.04,-1.57344963073173,0.6624718708068793,35,9833
256,0.6642998196301377,0.11,3.8398814112580695,0.6617577369500224,35,9868
257,2.062969366279198,0.22,7.7155111438086195,0.661044435763513,35,9903
258,2.3037771800998144,-0.04,-1.5323772410046956,0.6603319662764688,35,9938
259,0.9835729267431113,0.38,13.196019893958951,0.6596203275191397,35,9973
260,-2.902800321477997,-0.02,-0.6551282918743695,0.658909518522906,35,10008
261,2.6528859011285704,-0.06,-2.0017792871446503,0.6581995383202777,35,10043
262,-0.675321763645691,-0.34,-11.865072199665818,0.6574903859448926,35,10078
263,-1.2580420376908634,0.24,8.381979146700068,0.6567820604315154,35,10113
264,-2.95768922217378,0.24,8.508191313876573,0.6560745608160365,35,10148
265,-0.7036194125698643,0.47,16.42532226586802,0.6553678861354701,35,10183
266,2.1861852370533157,-0.23,-8.204100021674918,0.6546620354279532,35,10218
267,2.39415723211971,-0.37,-13.067840344655863,0.6539570077327445,35,10253
268,2.2842974515429972,0.21,7.260662075960262,0.653252802090223,35,10288
269,-0.24423975444092605,-0.57,-20.098166069411988,0.6525494175418862,35,10323
270,-1.3319474132257199,-0.31,-10.983869373158292,0.6518468531303498,35,10358
271,0.6368836677653462,-0.71,-24.828963402468304,0.6511451078993453,35,10393
272,2.5473294029326325,-0.4,-13.966320807964067,0.6504441808937192,35,10428
273,2.2226149528661736,0.11,3.795400993042456,0.6497440711594321,35,10463
274,1.9903435143558426,0.68,23.81198836781034,0.6490447777435567,35,10498
275,1.2246754160714772,-0.88,-30.7518183445644,0.6483462996942769,35,10533
276,-1.2658377817152981,0.07,2.4489024296975614,0.6476486360608862,35,10568
277,-4.252163241287114,-0.34,-12.002428586924673,0.6469517858937869,35,10603
278,2.434473272442979,0.27,9.602604583555888,0.6462557482444883,35,10638
279,0.9811313320397232,-0.01,-0.38124560138576413,0.6455605221656056,35,10673
280,-1.5407739728352823,0.38,13.466843068188322,0.6448661067108591,35,10708
281,-0.8158052187158873,0.3,10.383724778542707,0.6441725009350718,35,10743
282,-1.7974446473737515,0.21,7.511734669603719,0.6434797038941692,35,10778
283,0.36177956510563547,-0.54,-18.950945985436192,0.6427877146451775,35,10813
284,-0.6488025020478219,-0.12,-4.13482518162855,0.6420965322462221,35,10848
285,-1.0469590531567476,-0.57,-19.932519842421847,0.6414061557565272,35,10883
286,0.7737724635171297,0.36,12.516963135196242,0.6407165842364132,35,10918
287,-0.3849653097609078,-0.27,-9.535740050800015,0.6400278167472968,35,10953
288,-0.7520192428264849,0.23,7.993361007714547,0.6393398523516888,35,10988
289,-0.708837886558932,-0.24,-8.492033655273417,0.6386526901131929,35,11023
290,-1.6959508410147137,-0.28,-9.836365533489023,0.637966329096505,35,11058
291,2.5924230139577418,0.67,23.560650797010364,0.6372807683674114,35,11093
292,-0.6305033298428313,-0.33,-11.407547724422137,0.6365960069927877,35,11128
293,2.3169767134179153,-0.23,-8.14204315858455,0.6359120440405973,35,11163
294,2.6428803841122743,-0.38,-13.31945455870531,0.6352288785798907,35,11198
295,1.2230321434379121,-0.33,-11.654418534824131,0.6345465096808037,35,11233
296,-0.7923812015041136,-0.54,-19.0260920613117,0.6338649364145561,35,11268
297,-1.4439326841135482,0.18,6.18505802684507,0.6331841578534511,35,11303
298,-0.5099890387931723,-0.5,-17.674961745019864,0.632504173070873,35,11338
299,2.149947763600096,0.53,18.645690192355243,0.6318249811412873,35,11373
300,1.258999916232316,0.27,9.482982208104513,0.6311465811402379,35,11408
301,-0.7173714521144774,-0.06,-2.0832699810152135,0.6304689721443469,35,11443
302,2.7115052656066894,-0.8,-27.926562138559177,0.6297921532313133,35,11478
303,-1.29993153356304,0.1,3.465776490323833,0.6291161234799111,35,11513
304,-0.5598235890020149,0.0,0.10096112179041228,0.6284408819699885,35,11548
305,1.2124422628782128,0.09,3.2005158228329122,0.6277664277824668,35,11583
306,-1.8644417246442586,-0.36,-12.626515210032593,0.6270927599993389,35,11618
307,0.33138184027889395,0.09,3.193411108227707,0.6264198777036677,35,11653
308,0.285284135949599,0.56,19.493468551227163,0.6257477799795859,35,11688
309,2.3203475694682822,-0.16,-5.436067819464874,0.6250764659122933,35,11723
310,2.284199307625272,-0.31,-10.7713732847347,0.624405934588057,35,11758
311,-3.0199842296582773,-0.29,-10.186295387278399,0.6237361850942094,35,11793
312,-0.862871913808803,0.12,4.121501537493202,0.6230672165191465,35,11828
313,0.3587292514511695,0.58,20.20021672836077,0.6223990279523282,35,11863
314,1.393387267789766,0.59,20.528621270548243,0.621731618484275,35,11898
315,0.42432205367654774,-0.05,-1.6578663144151875,0.6210649872065687,35,11933
316,-2.675051183131508,0.1,3.520283344150293,0.6203991332118497,35,11968
317,2.563032693796046,-0.1,-3.474573899691727,0.6197340555938167,35,12003
